IO Bank,Pin Number,Site Type,Min Trace Delay (ps),Max Trace Delay (ps),Avg Trace Delay (ps),Avg Trace Delay (mm),Avg Trace Delay (mils)
34,T16,IO_L21P_T3_DQS_34,128.338,129.628,128.983,19.84353846,781.2416717
502,G4,PS_DDR_A14_502,58.236,58.822,58.529,9.004461538,354.5063598
502,F4,PS_DDR_A13_502,70.85,71.562,71.206,10.95476923,431.2901272
502,H4,PS_DDR_A12_502,51.003,51.516,51.2595,7.886076923,310.4754694
502,G5,PS_DDR_A11_502,51.905,52.427,52.166,8.025538462,315.9660812
502,J3,PS_DDR_A10_502,43.62,44.058,43.839,6.744461538,265.5299818
502,H5,PS_DDR_A9_502,53.411,53.947,53.679,8.258307692,325.1302241
502,J5,PS_DDR_A8_502,50.285,50.79,50.5375,7.775,306.1023622
502,J6,PS_DDR_A7_502,45.28,45.735,45.5075,7.001153846,275.6359782
502,J7,PS_DDR_A6_502,50.294,50.799,50.5465,7.776384615,306.1568746
502,K5,PS_DDR_A5_502,48.188,48.673,48.4305,7.450846154,293.3403998
502,K6,PS_DDR_A4_502,58.87,59.462,59.166,9.102461538,358.3646275
502,L4,PS_DDR_A3_502,42.898,43.329,43.1135,6.632846154,261.1356753
502,K4,PS_DDR_A2_502,42.061,42.484,42.2725,6.503461538,256.0417929
502,M5,PS_DDR_A1_502,46.895,47.366,47.1305,7.250846154,285.466384
502,M4,PS_DDR_A0_502,44.461,44.908,44.6845,6.874538462,270.6511205
502,M6,PS_DDR_BA2_502,50.935,51.447,51.191,7.875538462,310.0605694
502,L6,PS_DDR_BA1_502,60.452,61.059,60.7555,9.347,367.992126
502,L7,PS_DDR_BA0_502,49.068,49.561,49.3145,7.586846154,298.6947305
502,W2,PS_DDR_DQS_N3_502,106.487,107.557,107.022,16.46492308,648.225318
502,P2,PS_DDR_DQS_N2_502,66.55,67.219,66.8845,10.28992308,405.1150818
502,J2,PS_DDR_DQS_N1_502,71.992,72.716,72.354,11.13138462,438.2434888
502,D2,PS_DDR_DQS_N0_502,67.327,68.004,67.6655,10.41007692,409.8455482
502,Y1,PS_DDR_DQ31_502,97.277,98.254,97.7655,15.04084615,592.1592974
502,W3,PS_DDR_DQ30_502,120.173,121.381,120.777,18.58107692,731.5384615
502,Y3,PS_DDR_DQ29_502,119.999,121.205,120.602,18.55415385,730.4784979
502,W1,PS_DDR_DQ28_502,99.213,100.21,99.7115,15.34023077,603.9460933
502,U2,PS_DDR_DQ27_502,91.233,92.15,91.6915,14.10638462,555.369473
502,AA1,PS_DDR_DQ26_502,89.598,90.499,90.0485,13.85361538,545.4179285
502,U1,PS_DDR_DQ25_502,93.897,94.841,94.369,14.51830769,571.586917
502,AA3,PS_DDR_DQ24_502,117.686,118.868,118.277,18.19646154,716.3961236
502,R1,PS_DDR_DQ23_502,66.71,67.38,67.045,10.31461538,406.0872199
502,M2,PS_DDR_DQ22_502,51.956,52.478,52.217,8.033384615,316.2749849
502,T2,PS_DDR_DQ21_502,83.125,83.96,83.5425,12.85269231,506.0115082
502,R3,PS_DDR_DQ20_502,55.336,55.892,55.614,8.556,336.8503937
502,T1,PS_DDR_DQ19_502,79.038,79.833,79.4355,12.22084615,481.1356753
502,N3,PS_DDR_DQ18_502,51.75,52.27,52.01,8.001538462,315.0211993
502,T3,PS_DDR_DQ17_502,84.323,85.17,84.7465,13.03792308,513.3040581
502,M1,PS_DDR_DQ16_502,62.192,62.817,62.5045,9.616076923,378.5857056
502,K3,PS_DDR_DQ15_502,67.041,67.715,67.378,10.36584615,408.1041793
502,J1,PS_DDR_DQ14_502,51.589,52.108,51.8485,7.976692308,314.0430042
502,K1,PS_DDR_DQ13_502,59.175,59.77,59.4725,9.149615385,360.2210781
502,L3,PS_DDR_DQ12_502,63.803,64.444,64.1235,9.865153846,388.3918837
502,L2,PS_DDR_DQ11_502,71.26,71.976,71.618,11.01815385,433.7855845
502,L1,PS_DDR_DQ10_502,75.029,75.783,75.406,11.60092308,456.729255
502,G1,PS_DDR_DQ9_502,56.932,57.504,57.218,8.802769231,346.5657177
502,G2,PS_DDR_DQ8_502,59.383,59.979,59.681,9.181692308,361.4839491
502,F1,PS_DDR_DQ7_502,57.903,58.485,58.194,8.952923077,352.4772865
502,F2,PS_DDR_DQ6_502,56.463,57.03,56.7465,8.730230769,343.7098728
502,E1,PS_DDR_DQ5_502,64.024,64.667,64.3455,9.899307692,389.7365233
502,E3,PS_DDR_DQ4_502,71.163,71.878,71.5205,11.00315385,433.1950333
502,D3,PS_DDR_DQ3_502,59.3,59.896,59.598,9.168923077,360.9812235
502,B2,PS_DDR_DQ2_502,67.272,67.949,67.6105,10.40161538,409.5124167
502,C3,PS_DDR_DQ1_502,67.741,68.422,68.0815,10.47407692,412.3652332
502,D1,PS_DDR_DQ0_502,65.363,66.02,65.6915,10.10638462,397.8891581
502,AA2,PS_DDR_DM3_502,90.55,91.46,91.005,14.00076923,551.211387
502,P1,PS_DDR_DM2_502,64.518,65.167,64.8425,9.975769231,392.7468201
502,H3,PS_DDR_DM1_502,58.793,59.384,59.0885,9.090538462,357.895215
502,B1,PS_DDR_DM0_502,74.037,74.781,74.409,11.44753846,450.6904906
502,V2,PS_DDR_DQS_P3_502,109.886,110.99,110.438,16.99046154,668.9158086
502,N2,PS_DDR_DQS_P2_502,66.369,67.036,66.7025,10.26192308,404.0127196
502,H2,PS_DDR_DQS_P1_502,69.456,70.154,69.805,10.73923077,422.804361
502,C2,PS_DDR_DQS_P0_502,68.926,69.618,69.272,10.65723077,419.5760145
502,P3,PS_DDR_CAS_B_502,49.606,50.104,49.855,7.67,301.9685039
502,N5,PS_DDR_CKN_502,59.34,59.936,59.638,9.175076923,361.2235009
502,N4,PS_DDR_CKP_502,62.216,62.841,62.5285,9.619769231,378.7310721
502,V3,PS_DDR_CKE_502,122.913,124.149,123.531,19.00476923,748.2192611
502,P6,PS_DDR_CS_B_502,80.877,81.69,81.2835,12.50515385,492.3288916
502,P5,PS_DDR_ODT_502,64.592,65.241,64.9165,9.987153846,393.1950333
502,R5,PS_DDR_RAS_B_502,81.806,82.628,82.217,12.64876923,497.9830406
502,F3,PS_DDR_DRST_B_502,35.933,36.294,36.1135,5.555923077,218.737129
502,R4,PS_DDR_WE_B_502,107.729,108.811,108.27,16.65692308,655.7843731
35,C20,IO_L14N_T2_AD4N_SRCC_35,66.742,67.413,67.0775,10.31961538,406.2840703
35,D20,IO_L14P_T2_AD4P_SRCC_35,74.638,75.388,75.013,11.54046154,454.3488795
501,C12,PS_MIO53_501,46.065,46.528,46.2965,7.122538462,280.4149001
501,D10,PS_MIO52_501,34.642,34.99,34.816,5.356307692,210.8782556
501,C10,PS_MIO51_501,40.853,41.264,41.0585,6.316692308,248.6886735
501,D13,PS_MIO50_501,62.403,63.03,62.7165,9.648692308,379.8697759
501,C14,PS_MIO49_501,73.235,73.971,73.603,11.32353846,445.8086008
501,D11,PS_MIO48_501,52.108,52.632,52.37,8.056923077,317.2016959
501,B10,PS_MIO47_501,51.363,51.879,51.621,7.941692308,312.6650515
501,D12,PS_MIO46_501,71.814,72.536,72.175,11.10384615,437.1592974
501,B9,PS_MIO45_501,48.047,48.529,48.288,7.428923077,292.4772865
501,E13,PS_MIO44_501,59.26,59.856,59.558,9.162769231,360.7389461
501,B11,PS_MIO43_501,68.509,69.198,68.8535,10.59284615,417.0411872
501,D8,PS_MIO42_501,30.247,30.551,30.399,4.676769231,184.1247729
501,C8,PS_MIO41_501,41.108,41.521,41.3145,6.356076923,250.2392489
501,E14,PS_MIO40_501,117.616,118.798,118.207,18.18569231,715.9721381
501,C13,PS_MIO39_501,83.672,84.513,84.0925,12.93730769,509.3428225
501,F13,PS_MIO38_501,81.962,82.785,82.3735,12.67284615,498.9309509
501,B14,PS_MIO37_501,90.732,91.643,91.1875,14.02884615,552.3167777
501,A9,PS_MIO36_501,59.306,59.902,59.604,9.169846154,361.0175651
501,F14,PS_MIO35_501,73.393,74.131,73.762,11.348,446.7716535
501,B12,PS_MIO34_501,80.329,81.136,80.7325,12.42038462,488.9915203
501,G13,PS_MIO33_501,90.163,91.069,90.616,13.94092308,548.8552392
501,C7,PS_MIO32_501,44.917,45.368,45.1425,6.945,273.4251969
501,F9,PS_MIO31_501,42.645,43.074,42.8595,6.593769231,259.5972138
501,A11,PS_MIO30_501,76.241,77.008,76.6245,11.78838462,464.1096305
501,E8,PS_MIO29_501,40.664,41.073,40.8685,6.287461538,247.5378558
501,A12,PS_MIO28_501,88.392,89.281,88.8365,13.66715385,538.0769231
501,D7,PS_MIO27_501,35.575,35.933,35.754,5.500615385,216.5596608
501,A13,PS_MIO26_501,100.623,101.635,101.129,15.55830769,612.5317989
501,F12,PS_MIO25_501,66.923,67.596,67.2595,10.34761538,407.3864325
501,B7,PS_MIO24_501,56.467,57.034,56.7505,8.730846154,343.7341005
501,E11,PS_MIO23_501,75.006,75.76,75.383,11.59738462,456.5899455
501,A14,PS_MIO22_501,116.624,117.796,117.21,18.03230769,709.9333737
501,F11,PS_MIO21_501,76.807,77.579,77.193,11.87584615,467.5529982
501,A8,PS_MIO20_501,77.118,77.894,77.506,11.924,469.4488189
501,E10,PS_MIO19_501,61.908,62.53,62.219,9.572153846,376.8564506
501,A7,PS_MIO18_501,72.389,73.116,72.7525,11.19269231,440.6571775
501,E9,PS_MIO17_501,53.122,53.656,53.389,8.213692308,323.3737129
501,D6,PS_MIO16_501,44.913,45.364,45.1385,6.944384615,273.4009691
500,E6,PS_MIO15_500,37.05,37.423,37.2365,5.728692308,225.5390672
500,B6,PS_MIO14_500,56.054,56.617,56.3355,8.667,341.2204724
500,A6,PS_MIO13_500,61.365,61.982,61.6735,9.488230769,373.5523925
500,C5,PS_MIO12_500,54.772,55.322,55.047,8.468769231,333.4161114
500,B4,PS_MIO11_500,56.409,56.976,56.6925,8.721923077,343.3827983
500,G7,PS_MIO10_500,30.833,31.143,30.988,4.767384615,187.6923077
500,C4,PS_MIO9_500,48.429,48.916,48.6725,7.488076923,294.8061781
500,E5,PS_MIO8_500,34.958,35.309,35.1335,5.405153846,212.8013325
500,D5,PS_MIO7_500,50.613,51.121,50.867,7.825692308,308.0981224
500,A4,PS_MIO6_500,72.238,72.964,72.601,11.16938462,439.7395518
500,A3,PS_MIO5_500,71.334,72.051,71.6925,11.02961538,434.2368262
500,E4,PS_MIO4_500,37.436,37.812,37.624,5.788307692,227.8861296
500,F6,PS_MIO3_500,43.99,44.433,44.2115,6.801769231,267.7861902
500,A2,PS_MIO2_500,72.497,73.225,72.861,11.20938462,441.3143549
500,A1,PS_MIO1_500,81.403,82.221,81.812,12.58646154,495.5299818
500,G6,PS_MIO0_500,36.839,37.209,37.024,5.696,224.2519685
502,M7,PS_DDR_VRN_502,71.535,72.254,71.8945,11.06069231,435.4603271
502,N7,PS_DDR_VRP_502,79.316,80.113,79.7145,12.26376923,482.8255603
500,F7,PS_CLK_500,39.083,39.476,39.2795,6.043,237.9133858
500,B5,PS_POR_B_500,50.434,50.941,50.6875,7.798076923,307.0109025
501,C9,PS_SRST_B_501,44.891,45.342,45.1165,6.941,273.2677165
13,R7,IO_0_13,41.026,41.438,41.232,6.343384615,249.7395518
13,U7,IO_25_13,25.615,25.872,25.7435,3.960538462,155.9267111
34,M20,IO_L13N_T2_MRCC_34,37.447,37.823,37.635,5.79,227.9527559
34,M19,IO_L13P_T2_MRCC_34,32.177,32.5,32.3385,4.975153846,195.8721987
34,N20,IO_L14N_T2_SRCC_34,39.371,39.767,39.569,6.087538462,239.6668686
34,N19,IO_L14P_T2_SRCC_34,61.926,62.549,62.2375,9.575,376.9685039
35,B20,IO_L13N_T2_MRCC_35,79.625,80.425,80.025,12.31153846,484.7062386
35,B19,IO_L13P_T2_MRCC_35,71.816,72.537,72.1765,11.10407692,437.1683828
33,AA21,IO_L8P_T1_33,87.365,88.243,87.804,13.50830769,531.8231375
33,AB21,IO_L8N_T1_33,98.635,99.626,99.1305,15.25084615,600.4270139
33,AA22,IO_L7P_T1_33,87.323,88.201,87.762,13.50184615,531.5687462
33,AB22,IO_L7N_T1_33,96.876,97.85,97.363,14.97892308,589.721381
33,AB19,IO_L10P_T1_33,77.07,77.845,77.4575,11.91653846,469.1550575
33,AB20,IO_L10N_T1_33,87.719,88.601,88.16,13.56307692,533.9794064
33,Y20,IO_L9P_T1_DQS_33,71.43,72.148,71.789,11.04446154,434.8213204
33,Y21,IO_L9N_T1_DQS_33,72.715,73.446,73.0805,11.24315385,442.6438522
34,J18,IO_L7P_T1_34,58.039,58.622,58.3305,8.973923077,353.3040581
34,L17,IO_L4P_T0_34,105.123,106.179,105.651,16.254,639.9212598
35,A18,IO_L10P_T1_AD11P_35,73.627,74.367,73.997,11.38415385,448.1950333
35,D22,IO_L16P_T2_35,80.091,80.895,80.493,12.38353846,487.5408843
35,A16,IO_L9P_T1_DQS_AD3P_35,85.958,86.822,86.39,13.29076923,523.2586311
35,F18,IO_L5P_T0_AD9P_35,31.794,32.114,31.954,4.916,193.5433071
34,P20,IO_L18P_T2_34,75.14,75.895,75.5175,11.61807692,457.4046033
34,N22,IO_L16P_T2_34,60.707,61.317,61.012,9.386461538,369.5457299
35,A17,IO_L9N_T1_DQS_AD3N_35,84.744,85.596,85.17,13.10307692,515.8691702
35,E18,IO_L5N_T0_AD9N_35,37.417,37.794,37.6055,5.785461538,227.7740763
33,V18,IO_L6P_T0_33,69.334,70.031,69.6825,10.72038462,422.0623864
33,V19,IO_L6N_T0_VREF_33,51.379,51.895,51.637,7.944153846,312.7619624
33,U20,IO_L5P_T0_33,55.61,56.169,55.8895,8.598384615,338.5190793
33,V20,IO_L5N_T0_33,78.083,78.868,78.4755,12.07315385,475.3210176
34,L22,IO_L10N_T1_34,46.326,46.791,46.5585,7.162846154,282.0018171
34,T19,IO_L22N_T3_34,65.142,65.797,65.4695,10.07223077,396.5445185
34,M22,IO_L15N_T2_DQS_34,60.211,60.816,60.5135,9.309769231,366.5263477
34,P18,IO_L20N_T3_34,46.77,47.24,47.005,7.231538462,284.7062386
35,G16,IO_L4N_T0_35,59.666,60.266,59.966,9.225538462,363.2101757
35,G21,IO_L22N_T3_AD7N_35,54.009,54.552,54.2805,8.350846154,328.7734706
35,D21,IO_L17N_T2_AD5N_35,81.147,81.963,81.555,12.54692308,493.9733495
35,D15,IO_L3N_T0_DQS_AD1N_35,77.789,78.571,78.18,12.02769231,473.5311932
34,L21,IO_L10P_T1_34,36.871,37.241,37.056,5.700923077,224.4457904
34,R19,IO_L22P_T3_34,62.309,62.936,62.6225,9.634230769,379.300424
34,M21,IO_L15P_T2_DQS_34,55.004,55.557,55.2805,8.504692308,334.8304058
34,P17,IO_L20P_T3_34,90.02,90.924,90.472,13.91876923,547.9830406
35,G15,IO_L4P_T0_35,66.398,67.065,66.7315,10.26638462,404.1883707
35,G20,IO_L22P_T3_AD7P_35,50.417,50.924,50.6705,7.795461538,306.9079346
35,E21,IO_L17P_T2_AD5P_35,74.578,75.328,74.953,11.53123077,453.9854634
35,E15,IO_L3P_T0_DQS_AD1P_35,79.846,80.649,80.2475,12.34576923,486.0539067
34,P21,IO_L18N_T2_34,60.796,61.407,61.1015,9.400230769,370.0878256
34,P22,IO_L16N_T2_34,61.655,62.275,61.965,9.533076923,375.3179891
34,K18,IO_L7N_T1_34,50.578,51.087,50.8325,7.820384615,307.8891581
34,M17,IO_L4N_T0_34,117.789,118.973,118.381,18.21246154,717.0260448
35,A19,IO_L10N_T1_AD11N_35,74.68,75.43,75.055,11.54692308,454.6032707
35,C22,IO_L16N_T2_35,87.38,88.259,87.8195,13.51069231,531.91702
33,Y19,IO_L11P_T1_SRCC_33,93.835,94.778,94.3065,14.50869231,571.2083586
33,AA19,IO_L11N_T1_SRCC_33,81.515,82.334,81.9245,12.60376923,496.211387
35,E20,IO_L21N_T3_DQS_AD14N_35,97.635,98.617,98.126,15.09630769,594.3428225
35,F19,IO_L20N_T3_AD6N_35,56.854,57.426,57.14,8.790769231,346.0932768
35,E19,IO_L21P_T3_DQS_AD14P_35,101.889,102.913,102.401,15.754,620.2362205
